NCM;MVA %;Tem Redução? (SIM/NÃO);Redução %
85365090;63,28%;SIM;41,17%
85369040;63,28%;SIM;41,17%
85389010;63,28%;SIM;41,17%
85447010;63,28%;SIM;41,17%
85447090;63,28%;SIM;41,17%
84433111;53,86%;SIM;41,17%
84433113;53,86%;SIM;41,17%
84433114;53,86%;SIM;41,17%
84433115;53,86%;SIM;41,17%
84433199;53,86%;SIM;41,17%
84433223;53,86%;SIM;41,17%
84433229;53,86%;SIM;41,17%
84433231;53,86%;SIM;41,17%
84433233;53,86%;SIM;41,17%
84433235;53,86%;SIM;41,17%
84433236;53,86%;SIM;41,17%
84433239;53,86%;SIM;41,17%
84433299;53,86%;SIM;41,17%
84439199;53,86%;SIM;41,17%
84439922;53,86%;SIM;41,17%
84439923;53,86%;SIM;41,17%
84439929;53,86%;SIM;41,17%
84439932;53,86%;SIM;41,17%
84439933;53,86%;SIM;41,17%
84439939;53,86%;SIM;41,17%
84439941;53,86%;SIM;41,17%
84439949;53,86%;SIM;41,17%
84439950;53,86%;SIM;41,17%
84439960;53,86%;SIM;41,17%
84439970;53,86%;SIM;41,17%
84439980;53,86%;SIM;41,17%
84439990;53,86%;SIM;41,17%
84713011;53,86%;SIM;41,17%
84713012;53,86%;SIM;41,17%
84713019;53,86%;SIM;41,17%
84714190;53,86%;SIM;41,17%
84714900;53,86%;SIM;41,17%
84715010;53,86%;SIM;41,17%
84716052;53,86%;SIM;41,17%
84716053;53,86%;SIM;41,17%
84716054;53,86%;SIM;41,17%
84716059;53,86%;SIM;41,17%
84716090;53,86%;SIM;41,17%
84717010;53,86%;SIM;41,17%
84717012;53,86%;SIM;41,17%
84717020;53,86%;SIM;41,17%
84717040;53,86%;SIM;41,17%
84717090;53,86%;SIM;41,17%
84719011;53,86%;SIM;41,17%
84719012;53,86%;SIM;41,17%
84719014;53,86%;SIM;41,17%
84719019;53,86%;SIM;41,17%
84719090;53,86%;SIM;41,17%
84733011;53,86%;SIM;41,17%
84733019;53,86%;SIM;41,17%
84733041;53,86%;SIM;41,17%
84733042;53,86%;SIM;41,17%
84733049;53,86%;SIM;41,17%
84733099;53,86%;SIM;41,17%
85043111;53,86%;SIM;41,17%
85043119;53,86%;SIM;41,17%
85043199;53,86%;SIM;41,17%
85043211;53,86%;SIM;41,17%
85044021;63,28%;SIM;41,17%
85044029;63,28%;SIM;41,17%
85044030;63,28%;SIM;41,17%
85044040;53,86%;SIM;41,17%
85044090;63,28%;SIM;41,17%
85049040;63,28%;SIM;41,17%
85049090;63,28%;SIM;41,17%
85171211;53,86%;SIM;41,17%
85171221;53,86%;SIM;41,17%
85171231;53,86%;SIM;41,17%
85171300;53,86%;SIM;41,17%
85171410;53,86%;SIM;41,17%
85171439;53,86%;SIM;41,17%
85171490;53,86%;SIM;41,17%
85171999;53,86%;SIM;41,17%
85176119;53,86%;SIM;41,17%
85176130;53,86%;SIM;41,17%
85176149;53,86%;SIM;41,17%
85176199;53,86%;SIM;41,17%
85176211;53,86%;SIM;41,17%
85176212;53,86%;SIM;41,17%
85176219;53,86%;SIM;41,17%
85176229;53,86%;SIM;41,17%
85176234;53,86%;SIM;41,17%
85176239;53,86%;SIM;41,17%
85176241;53,86%;SIM;41,17%
85176249;53,86%;SIM;41,17%
85176251;53,86%;SIM;41,17%
85176252;53,86%;SIM;41,17%
85176254;53,86%;SIM;41,17%
85176255;53,86%;SIM;41,17%
85176256;53,86%;SIM;41,17%
85176259;53,86%;SIM;41,17%
85176261;53,86%;SIM;41,17%
85176262;53,86%;SIM;41,17%
85176265;53,86%;SIM;41,17%
85176272;53,86%;SIM;41,17%
85176273;53,86%;SIM;41,17%
85176277;53,86%;SIM;41,17%
85176279;53,86%;SIM;41,17%
85176291;53,86%;SIM;41,17%
85176294;53,86%;SIM;41,17%
85176296;53,86%;SIM;41,17%
85176299;53,86%;SIM;41,17%
85176900;53,86%;SIM;41,17%
85177010;53,86%;SIM;41,17%
85177091;53,86%;SIM;41,17%
85177099;53,86%;SIM;41,17%
85177190;53,86%;SIM;41,17%
85177900;53,86%;SIM;41,17%
85235110;53,86%;SIM;41,17%
85235210;53,86%;SIM;41,17%
85285200;53,86%;SIM;41,17%
85285220;53,86%;SIM;41,17%
85286200;53,86%;SIM;41,17%
85287119;53,86%;SIM;41,17%
85287200;53,86%;SIM;41,17%
85291090;53,86%;SIM;41,17%
85299011;53,86%;SIM;41,17%
85299019;53,86%;SIM;41,17%
